Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,Time of Connect,CarInsurance
788,59,blue-collar,married,primary,0,-546,0,0,cellular,25,aug,6,-1,0,,4.44.02 AM,5.03.14,0.19.12,1
789,46,manullgement,married,tertiary,0,2817,0,0,cellular,17,sep,1,-1,0,,1.52.02 AM,2.01.05,0.09.03,1
790,25,technician,single,secondary,0,1105,1,0,cellular,30,apr,1,13,1,failure,4.04.23 AM,4.07.38,0.03.15,0
791,26,technician,married,secondary,0,47,1,0,,9,may,2,-1,0,,5.59.20 AM,6.04.02,0.04.42,0
792,60,housemaid,married,,0,2769,0,0,cellular,13,aug,2,-1,0,,12.15.58 PM,12.17.34,0.01.36,0
793,79,retired,divorced,secondary,0,631,0,0,telephone,9,aug,5,182,3,failure,1.31.12 AM,1.38.32,0.07.20,0
794,59,technician,married,primary,0,4198,0,0,cellular,14,jan,1,91,10,success,3.17.52 AM,3.23.01,0.05.09,1
795,52,manullgement,single,tertiary,0,83,0,0,cellular,26,aug,6,-1,0,,10.22.33 AM,10.42.56,0.20.23,1
796,27,blue-collar,single,secondary,0,294,1,0,cellular,18,may,2,-1,0,,11.15.57 AM,11.23.43,0.07.46,0
797,33,student,single,,0,1170,0,0,cellular,30,apr,1,-1,0,,4.41.37 AM,4.47.29,0.05.52,1
798,33,manullgement,divorced,tertiary,0,990,1,0,cellular,24,jul,2,-1,0,,2.38.00 AM,3.02.51,0.24.51,1
799,28,blue-collar,single,secondary,0,-46,1,0,cellular,1,jun,2,91,12,success,5.21.03 AM,5.23.37,0.02.34,1
800,37,admin.,married,,0,497,1,0,telephone,19,nov,2,-1,0,,9.46.58 AM,9.49.56,0.02.58,0
801,38,blue-collar,married,primary,0,290,1,0,cellular,16,apr,1,-1,0,,4.11.33 AM,4.16.16,0.04.43,0
802,47,manullgement,married,tertiary,0,0,0,1,cellular,21,aug,1,-1,0,,10.56.31 AM,11.02.45,0.06.14,1
803,56,admin.,married,secondary,0,360,1,1,cellular,24,jul,2,-1,0,,1.04.07 AM,1.05.45,0.01.38,0
804,57,services,married,secondary,0,197,0,0,,16,jun,1,-1,0,,3.39.13 AM,3.41.09,0.01.56,0
805,32,student,single,secondary,0,0,0,0,cellular,21,nov,1,-1,0,,9.31.30 AM,9.34.56,0.03.26,0
806,58,services,divorced,secondary,0,462,0,0,cellular,13,nov,1,93,1,success,1.55.30 AM,2.03.45,0.08.15,1
807,35,technician,single,secondary,0,1183,1,0,cellular,21,nov,3,185,2,failure,4.00.50 AM,4.01.11,0.00.21,0
808,44,technician,married,tertiary,0,1454,0,0,,11,jun,2,-1,0,,3.12.12 AM,3.14.48,0.02.36,0
809,20,blue-collar,single,secondary,0,129,1,1,,13,may,1,-1,0,,4.51.26 AM,4.54.36,0.03.10,0
810,36,technician,married,tertiary,0,0,0,0,cellular,20,aug,1,-1,0,,4.19.46 AM,4.23.51,0.04.05,0
811,40,manullgement,single,tertiary,0,3840,1,0,cellular,24,sep,2,409,2,success,10.02.32 AM,10.06.24,0.03.52,1
812,27,manullgement,single,tertiary,0,2802,1,0,cellular,18,may,1,-1,0,,9.08.32 AM,9.09.56,0.01.24,0
813,32,manullgement,married,tertiary,0,905,0,0,cellular,12,feb,4,-1,0,,10.19.34 AM,10.30.40,0.11.06,1
814,50,technician,married,secondary,0,797,1,0,,6,may,1,-1,0,,10.35.04 AM,10.40.58,0.05.54,0
815,33,manullgement,single,tertiary,0,637,0,0,cellular,14,aug,2,-1,0,,11.13.23 AM,11.16.49,0.03.26,0
816,29,blue-collar,married,secondary,0,0,1,0,cellular,11,may,6,-1,0,,5.55.03 AM,5.56.59,0.01.56,0
817,46,manullgement,married,tertiary,0,699,0,0,cellular,2,feb,1,-1,0,,10.38.06 AM,10.42.07,0.04.01,0
818,46,manullgement,married,primary,0,1267,1,1,cellular,18,nov,2,-1,0,,9.00.55 AM,9.04.02,0.03.07,0
819,39,technician,single,secondary,0,15,1,0,cellular,30,apr,1,-1,0,,1.23.53 AM,1.32.23,0.08.30,1
820,27,technician,single,secondary,0,299,1,0,cellular,5,feb,7,-1,0,,11.53.43 AM,11.54.12,0.00.29,0
821,54,blue-collar,married,primary,0,836,1,0,telephone,21,nov,1,130,3,other,9.13.55 AM,9.19.07,0.05.12,0
822,34,blue-collar,single,secondary,0,-317,1,0,cellular,17,apr,3,346,1,other,1.13.13 AM,1.21.51,0.08.38,0
823,34,technician,married,secondary,0,672,0,0,cellular,23,jul,3,-1,0,,2.01.00 AM,2.03.38,0.02.38,0
824,35,admin.,single,secondary,0,3636,0,0,cellular,12,aug,1,-1,0,,10.09.43 AM,10.13.05,0.03.22,0
825,59,retired,married,primary,0,4949,0,1,,12,jun,8,-1,0,,12.14.04 PM,12.16.52,0.02.48,0
827,39,services,married,secondary,0,117,1,0,cellular,18,may,2,-1,0,,5.09.47 AM,5.26.59,0.17.12,1
828,41,technician,married,secondary,0,1385,0,0,,17,jun,1,-1,0,,2.39.44 AM,2.42.09,0.02.25,0
829,55,blue-collar,married,secondary,0,1011,1,0,cellular,12,aug,2,-1,0,,10.18.17 AM,10.20.09,0.01.52,0
830,32,manullgement,divorced,tertiary,0,530,1,0,cellular,24,sep,1,114,2,failure,2.10.13 AM,2.11.44,0.01.31,0
831,37,manullgement,married,tertiary,0,1315,0,0,cellular,30,jun,1,-1,0,,5.43.05 AM,5.46.49,0.03.44,1
832,43,blue-collar,married,secondary,0,95,1,0,cellular,18,may,1,-1,0,,4.40.29 AM,4.45.25,0.04.56,0
833,24,admin.,married,secondary,0,-94,1,0,cellular,15,may,1,-1,0,,12.52.55 PM,12.56.32,0.03.37,0
834,44,admin.,married,secondary,0,1206,0,0,cellular,19,nov,3,-1,0,,5.45.29 AM,5.48.29,0.03.00,0
835,35,self-employed,married,tertiary,0,7990,1,0,cellular,4,feb,1,-1,0,,1.52.52 AM,1.58.49,0.05.57,0
836,56,blue-collar,divorced,primary,0,-216,1,0,,26,may,1,-1,0,,12.31.37 PM,12.37.13,0.05.36,0
837,29,admin.,married,tertiary,0,26,1,0,,28,may,1,-1,0,,10.52.29 AM,10.53.14,0.00.45,0
838,45,technician,married,secondary,0,3492,1,1,,20,jun,4,-1,0,,1.36.58 AM,1.37.44,0.00.46,0
839,35,technician,single,tertiary,0,1880,0,0,cellular,20,may,1,-1,0,,9.18.04 AM,9.20.38,0.02.34,1
840,41,services,divorced,secondary,0,2769,1,0,,18,jun,3,-1,0,,11.28.39 AM,11.30.15,0.01.36,0
841,53,blue-collar,married,secondary,0,6112,0,0,cellular,30,apr,1,86,1,success,9.32.19 AM,9.35.50,0.03.31,0
842,44,services,married,primary,0,3,1,0,cellular,7,may,1,-1,0,,2.58.15 AM,3.02.03,0.03.48,0
843,48,blue-collar,married,primary,0,-460,0,0,cellular,23,jul,1,-1,0,,1.54.39 AM,1.56.54,0.02.15,0
844,54,blue-collar,married,secondary,0,548,0,0,cellular,18,aug,7,-1,0,,5.59.12 AM,6.07.52,0.08.40,1
845,56,entrepreneur,divorced,primary,0,29,0,0,cellular,29,jan,2,227,1,failure,1.24.32 AM,1.25.24,0.00.52,0
846,51,entrepreneur,married,tertiary,0,83,0,0,cellular,20,apr,2,-1,0,,1.42.56 AM,1.47.23,0.04.27,1
847,38,housemaid,single,secondary,0,113,1,0,,2,jun,4,-1,0,,5.06.20 AM,5.07.58,0.01.38,0
848,30,manullgement,single,tertiary,0,697,0,0,cellular,28,apr,2,181,8,success,10.56.54 AM,11.05.59,0.09.05,1
849,28,technician,single,secondary,0,909,0,1,cellular,7,jul,1,-1,0,,1.04.48 AM,1.13.40,0.08.52,1
850,80,retired,married,primary,0,155,0,0,telephone,12,mar,1,93,2,success,2.20.06 AM,2.24.56,0.04.50,1
851,29,student,single,tertiary,0,559,0,0,cellular,3,feb,2,-1,0,,5.06.25 AM,5.08.48,0.02.23,0
852,58,admin.,married,secondary,0,4348,1,0,cellular,23,jun,4,141,1,other,10.51.31 AM,11.04.41,0.13.10,1
853,50,admin.,married,secondary,0,546,0,0,cellular,28,jul,6,-1,0,,5.35.55 AM,5.37.17,0.01.22,0
854,30,technician,married,secondary,0,776,0,0,cellular,30,apr,2,-1,0,,11.14.17 AM,11.28.38,0.14.21,1
855,33,technician,married,tertiary,0,525,1,1,cellular,30,jan,1,247,1,failure,2.27.27 AM,2.35.46,0.08.19,0
856,54,manullgement,married,tertiary,0,8295,0,0,cellular,2,oct,2,119,1,success,5.03.01 AM,5.17.10,0.14.09,1
857,59,manullgement,married,tertiary,0,296,0,1,cellular,15,jul,3,-1,0,,4.32.17 AM,4.45.42,0.13.25,1
858,40,manullgement,married,tertiary,0,409,0,0,cellular,19,aug,2,-1,0,,4.25.46 AM,4.27.37,0.01.51,0
859,51,entrepreneur,married,secondary,0,-799,0,1,cellular,15,jul,3,-1,0,,12.06.43 PM,12.23.24,0.16.41,1
860,34,admin.,single,secondary,0,151,1,0,cellular,12,may,1,370,1,other,5.55.55 AM,6.05.45,0.09.50,1
861,41,blue-collar,married,primary,0,246,0,0,,19,jun,3,-1,0,,9.31.41 AM,9.43.04,0.11.23,1
862,40,manullgement,married,primary,0,395,1,0,cellular,22,apr,4,-1,0,,9.41.30 AM,9.45.22,0.03.52,1
863,34,admin.,single,secondary,0,10,0,1,,29,may,3,-1,0,,12.46.31 PM,12.51.41,0.05.10,0
864,30,services,single,secondary,0,-143,1,0,cellular,15,may,1,-1,0,,3.54.46 AM,3.56.11,0.01.25,0
865,56,services,single,secondary,0,-40,1,0,cellular,15,may,1,368,2,failure,12.51.28 PM,12.56.39,0.05.11,1
866,42,technician,divorced,secondary,0,19,0,0,cellular,20,aug,4,-1,0,,11.14.03 AM,11.28.38,0.14.35,1
867,42,blue-collar,divorced,secondary,0,685,1,0,,30,may,4,-1,0,,10.03.04 AM,10.06.28,0.03.24,0
868,37,blue-collar,single,secondary,0,2235,1,0,cellular,20,apr,2,151,2,failure,9.56.04 AM,10.03.03,0.06.59,0
869,31,blue-collar,divorced,secondary,0,-452,1,0,,26,may,5,-1,0,,1.05.28 AM,1.08.30,0.03.02,0
870,47,manullgement,married,tertiary,0,-488,1,0,cellular,25,jul,5,-1,0,,1.51.19 AM,1.52.24,0.01.05,0
871,39,manullgement,married,tertiary,0,0,1,0,cellular,5,may,2,-1,0,,5.24.58 AM,5.38.29,0.13.31,1
872,25,admin.,single,secondary,0,82,0,1,cellular,7,apr,2,-1,0,,1.34.44 AM,1.36.28,0.01.44,1
873,61,retired,divorced,primary,0,3624,0,0,cellular,25,nov,1,-1,0,,12.01.05 PM,12.06.47,0.05.42,1
874,28,manullgement,single,tertiary,0,437,0,0,cellular,5,may,1,-1,0,,3.22.57 AM,3.28.35,0.05.38,1
875,48,admin.,single,secondary,0,1253,1,0,,18,jun,2,-1,0,,5.41.30 AM,5.45.35,0.04.05,0
876,26,manullgement,single,tertiary,0,1646,0,0,cellular,18,sep,5,-1,0,,12.33.42 PM,12.48.32,0.14.50,1
877,54,manullgement,single,tertiary,0,3294,1,0,cellular,25,jul,5,-1,0,,10.25.57 AM,10.28.09,0.02.12,0
878,28,admin.,divorced,secondary,0,785,1,0,,8,may,2,-1,0,,3.46.38 AM,3.54.00,0.07.22,1
879,24,student,single,secondary,0,23878,0,0,cellular,26,may,1,97,1,success,9.49.21 AM,9.51.34,0.02.13,1
880,29,entrepreneur,single,secondary,0,158,1,0,cellular,25,jul,2,-1,0,,11.32.47 AM,11.36.48,0.04.01,0
881,52,technician,divorced,secondary,0,280,0,0,cellular,14,jul,5,-1,0,,9.38.00 AM,9.44.33,0.06.33,0
882,37,blue-collar,married,secondary,0,121,1,1,cellular,13,may,4,-1,0,,12.41.33 PM,12.46.35,0.05.02,0
883,46,technician,married,secondary,0,499,1,0,cellular,31,jul,10,-1,0,,2.44.43 AM,2.45.20,0.00.37,0
884,29,blue-collar,married,secondary,0,723,0,1,cellular,17,jul,1,-1,0,,11.00.57 AM,11.04.52,0.03.55,0
885,36,student,single,tertiary,0,129,0,0,cellular,27,oct,1,-1,0,,12.32.52 PM,12.35.21,0.02.29,1
886,53,unemployed,divorced,secondary,0,587,0,0,cellular,19,nov,1,-1,0,,5.54.02 AM,6.03.23,0.09.21,1
887,56,technician,married,tertiary,0,3082,1,1,,30,jun,3,-1,0,,1.57.37 AM,2.05.01,0.07.24,0
888,51,blue-collar,married,primary,0,3942,1,0,,17,jun,3,-1,0,,5.45.19 AM,5.51.22,0.06.03,0
889,36,manullgement,married,tertiary,0,2178,1,0,cellular,14,may,3,-1,0,,4.29.55 AM,4.31.10,0.01.15,0
890,45,admin.,married,secondary,0,3493,1,0,cellular,8,jul,1,-1,0,,10.57.45 AM,11.06.03,0.08.18,0
891,51,technician,married,secondary,1,61,0,1,telephone,30,jul,20,-1,0,,5.13.42 AM,5.14.09,0.00.27,0
892,30,services,married,secondary,0,-95,1,1,,26,may,3,-1,0,,3.20.58 AM,3.26.04,0.05.06,0
893,47,technician,single,,0,-213,1,0,,26,may,1,-1,0,,11.50.34 AM,11.53.22,0.02.48,0
894,26,blue-collar,married,secondary,0,2005,1,0,,27,may,3,-1,0,,1.15.45 AM,1.19.29,0.03.44,0
895,62,retired,married,primary,0,1084,0,0,cellular,14,apr,1,-1,0,,5.33.25 AM,5.41.50,0.08.25,1
896,37,manullgement,married,tertiary,0,630,0,0,cellular,30,apr,1,87,1,success,3.47.25 AM,3.52.40,0.05.15,1
898,71,retired,married,tertiary,0,653,0,0,telephone,3,sep,1,189,1,success,1.40.00 AM,1.47.51,0.07.51,1
899,37,technician,married,secondary,0,474,1,0,cellular,14,apr,1,322,1,failure,12.19.31 PM,12.20.56,0.01.25,0
900,39,technician,married,secondary,0,768,1,1,,27,may,4,-1,0,,10.21.35 AM,10.24.26,0.02.51,0
901,34,blue-collar,married,secondary,0,-436,1,0,,26,may,1,-1,0,,9.47.15 AM,9.52.32,0.05.17,0
902,45,blue-collar,divorced,primary,0,594,1,0,,29,may,2,-1,0,,12.37.40 PM,12.51.33,0.13.53,1
903,30,manullgement,married,tertiary,0,14,0,0,cellular,24,jul,2,-1,0,,10.20.19 AM,10.21.49,0.01.30,0
904,30,student,single,tertiary,0,2539,0,0,telephone,5,mar,5,-1,0,,9.54.04 AM,9.57.23,0.03.19,1
905,32,services,single,secondary,0,0,1,0,cellular,31,jul,13,-1,0,,1.10.04 AM,1.11.43,0.01.39,0
906,33,services,married,secondary,0,255,1,1,cellular,5,may,4,165,4,failure,9.26.25 AM,9.30.22,0.03.57,0
907,30,services,single,secondary,0,-172,1,1,cellular,17,apr,4,329,2,other,2.16.54 AM,2.21.36,0.04.42,0
908,53,blue-collar,married,primary,0,421,1,0,cellular,20,nov,1,-1,0,,2.00.24 AM,2.11.41,0.11.17,1
909,55,technician,single,tertiary,0,92,1,0,,7,may,3,-1,0,,10.28.21 AM,10.30.19,0.01.58,0
910,44,services,married,primary,0,1161,1,0,,19,may,5,-1,0,,3.52.59 AM,3.54.49,0.01.50,0
911,39,technician,married,tertiary,0,122,0,0,,20,jun,5,-1,0,,4.47.21 AM,4.48.05,0.00.44,0
912,31,manullgement,married,tertiary,0,430,1,0,cellular,25,jul,16,-1,0,,2.50.45 AM,2.53.02,0.02.17,0
913,48,blue-collar,divorced,secondary,0,2071,0,0,cellular,14,may,1,-1,0,,5.05.21 AM,5.07.28,0.02.07,0
914,55,manullgement,married,,0,1504,1,0,cellular,22,may,2,-1,0,,4.09.22 AM,4.15.00,0.05.38,1
915,46,technician,single,tertiary,0,2739,0,0,cellular,8,aug,4,-1,0,,9.14.12 AM,9.16.09,0.01.57,0
916,31,manullgement,divorced,tertiary,0,294,1,0,cellular,17,jul,5,-1,0,,2.54.35 AM,3.03.31,0.08.56,1
917,37,manullgement,single,tertiary,0,62,1,0,cellular,2,aug,2,272,8,success,11.08.25 AM,11.15.33,0.07.08,1
918,56,housemaid,married,,0,1780,0,0,cellular,11,aug,2,-1,0,,4.59.57 AM,5.01.48,0.01.51,0
919,49,technician,divorced,tertiary,0,596,1,0,telephone,15,sep,1,-1,0,,3.52.40 AM,4.04.42,0.12.02,1
920,31,manullgement,married,secondary,0,2294,0,0,cellular,20,aug,2,-1,0,,9.11.01 AM,9.19.04,0.08.03,0
921,32,technician,single,tertiary,0,654,1,0,cellular,25,may,4,-1,0,,4.29.54 AM,4.40.09,0.10.15,1
922,43,admin.,married,secondary,0,1138,0,0,cellular,16,apr,2,-1,0,,2.28.22 AM,2.30.34,0.02.12,0
923,43,services,married,tertiary,0,4216,0,0,cellular,24,dec,2,195,2,success,2.12.10 AM,2.14.40,0.02.30,1
924,52,blue-collar,married,secondary,0,167,0,0,,16,jun,1,-1,0,,5.54.09 AM,5.56.52,0.02.43,0
925,38,blue-collar,married,primary,0,3289,0,0,cellular,20,nov,2,164,2,failure,1.05.50 AM,1.11.30,0.05.40,0
926,28,student,single,secondary,0,2351,0,0,telephone,22,oct,1,-1,0,,3.30.48 AM,3.33.25,0.02.37,1
927,47,blue-collar,married,primary,0,206,1,0,,6,may,1,-1,0,,1.43.21 AM,1.45.53,0.02.32,0
928,36,technician,married,secondary,0,494,1,0,,9,may,3,-1,0,,9.46.19 AM,9.47.42,0.01.23,0
929,34,admin.,married,secondary,0,592,1,0,,8,jun,1,-1,0,,3.03.43 AM,3.04.32,0.00.49,0
930,32,admin.,married,tertiary,0,227,0,0,cellular,21,aug,2,-1,0,,9.20.03 AM,9.22.31,0.02.28,0
931,30,blue-collar,single,,0,694,1,1,cellular,18,may,1,306,4,success,2.10.54 AM,2.20.53,0.09.59,0
932,33,manullgement,married,secondary,0,2858,1,1,cellular,12,may,1,298,5,failure,4.56.39 AM,4.59.34,0.02.55,0
933,36,manullgement,married,tertiary,0,900,1,0,,15,may,2,-1,0,,5.59.45 AM,6.07.40,0.07.55,0
934,57,admin.,single,secondary,0,5768,1,0,,19,jun,1,-1,0,,1.58.02 AM,2.06.34,0.08.32,1
935,44,services,married,secondary,0,1326,0,0,cellular,30,jul,1,-1,0,,11.01.57 AM,11.03.33,0.01.36,0
936,49,services,divorced,secondary,0,0,0,0,cellular,28,jul,2,-1,0,,4.32.29 AM,4.39.21,0.06.52,1
937,44,technician,single,tertiary,0,643,0,0,cellular,26,may,3,-1,0,,11.14.20 AM,11.18.02,0.03.42,0
938,36,manullgement,single,tertiary,0,2646,0,0,cellular,13,oct,1,182,10,success,12.56.34 PM,12.59.23,0.02.49,1
939,28,student,single,,0,78,0,0,cellular,28,jan,2,-1,0,,3.45.16 AM,3.54.30,0.09.14,0
940,29,admin.,single,tertiary,0,41,1,0,cellular,13,aug,2,-1,0,,9.19.18 AM,9.21.46,0.02.28,1
941,45,blue-collar,married,primary,0,5461,1,0,cellular,20,nov,2,-1,0,,4.48.42 AM,5.02.43,0.14.01,1
942,45,blue-collar,married,primary,0,15515,0,0,cellular,4,aug,2,-1,0,,5.48.45 AM,5.51.32,0.02.47,0
943,32,manullgement,single,tertiary,0,438,0,0,cellular,21,aug,5,-1,0,,1.51.48 AM,1.57.06,0.05.18,0
944,45,entrepreneur,married,primary,0,488,1,0,telephone,28,jul,11,-1,0,,11.41.53 AM,11.43.23,0.01.30,0
945,52,manullgement,married,tertiary,0,7135,0,0,cellular,19,aug,3,-1,0,,1.45.24 AM,2.02.36,0.17.12,1
946,32,services,single,secondary,0,-55,1,0,cellular,15,apr,1,-1,0,,4.46.13 AM,4.56.14,0.10.01,0
947,49,manullgement,married,tertiary,0,403,0,0,cellular,31,jul,2,-1,0,,1.00.07 AM,1.04.22,0.04.15,0
948,53,technician,divorced,secondary,0,281,1,0,cellular,17,apr,2,337,9,other,10.05.27 AM,10.08.18,0.02.51,0
949,53,retired,married,secondary,0,-686,0,1,,2,jun,3,-1,0,,5.02.23 AM,5.06.38,0.04.15,0
950,28,technician,single,secondary,0,313,0,0,cellular,9,feb,2,-1,0,,9.37.15 AM,9.56.58,0.19.43,1
951,53,services,divorced,secondary,0,36,1,1,,2,jul,1,417,1,success,12.07.33 PM,12.07.58,0.00.25,1
952,34,blue-collar,married,primary,0,503,1,0,,26,may,2,-1,0,,9.47.56 AM,9.49.56,0.02.00,0
953,43,blue-collar,married,secondary,0,1109,1,0,cellular,2,feb,3,264,2,failure,12.24.59 PM,12.26.54,0.01.55,0
954,22,student,single,secondary,0,1522,0,0,cellular,30,oct,2,-1,0,,3.59.49 AM,4.05.57,0.06.08,1
955,55,technician,divorced,tertiary,0,264,1,0,,30,may,2,-1,0,,4.53.56 AM,4.54.30,0.00.34,0
956,32,manullgement,married,tertiary,0,2349,0,0,cellular,14,aug,5,-1,0,,12.43.41 PM,12.45.55,0.02.14,0
957,72,retired,single,tertiary,0,1285,0,0,telephone,2,nov,5,98,2,failure,4.56.37 AM,4.59.36,0.02.59,0
958,47,manullgement,married,tertiary,0,4693,0,1,cellular,12,nov,1,97,3,success,4.17.00 AM,4.18.29,0.01.29,1
959,34,blue-collar,married,primary,0,-288,1,0,,19,may,1,-1,0,,12.22.30 PM,12.33.13,0.10.43,0
960,32,manullgement,married,tertiary,0,92,0,0,,3,jul,1,-1,0,,9.29.32 AM,9.31.28,0.01.56,0
961,57,technician,divorced,secondary,0,77,1,1,cellular,29,jan,3,246,2,failure,12.14.41 PM,12.17.29,0.02.48,0
962,59,retired,married,secondary,0,163,0,0,cellular,24,jul,1,-1,0,,10.00.36 AM,10.08.20,0.07.44,0
963,31,technician,divorced,tertiary,0,0,0,0,cellular,27,aug,6,-1,0,,5.25.53 AM,5.35.34,0.09.41,1
964,43,admin.,married,secondary,0,2271,0,0,telephone,10,nov,1,-1,0,,2.09.37 AM,2.18.21,0.08.44,1
965,47,manullgement,married,secondary,0,458,0,0,cellular,18,nov,1,-1,0,,5.11.04 AM,5.12.10,0.01.06,0
966,42,blue-collar,single,secondary,0,625,0,0,,19,jun,3,-1,0,,4.38.23 AM,4.49.14,0.10.51,1
967,29,manullgement,single,tertiary,0,1170,0,0,cellular,20,apr,1,-1,0,,4.54.07 AM,5.01.40,0.07.33,1
968,33,blue-collar,single,primary,0,785,1,0,cellular,20,nov,1,-1,0,,4.01.46 AM,4.04.05,0.02.19,0
969,30,admin.,single,secondary,0,387,1,0,,8,may,1,-1,0,,11.08.40 AM,11.09.55,0.01.15,0
970,45,manullgement,married,secondary,0,1134,0,1,cellular,9,feb,4,-1,0,,4.56.54 AM,4.58.36,0.01.42,0
971,42,unemployed,married,tertiary,0,576,0,0,cellular,27,feb,1,-1,0,,9.46.40 AM,9.49.16,0.02.36,1
972,26,services,single,tertiary,0,1140,1,0,cellular,6,feb,2,-1,0,,4.23.54 AM,4.40.18,0.16.24,1
973,27,blue-collar,single,secondary,0,2486,1,0,,29,may,1,-1,0,,4.28.17 AM,4.40.30,0.12.13,1
974,58,services,married,secondary,0,307,0,0,telephone,25,mar,2,-1,0,,4.13.32 AM,4.18.14,0.04.42,0
975,51,admin.,divorced,secondary,0,21,0,0,cellular,23,jul,17,-1,0,,1.59.16 AM,2.00.09,0.00.53,0
976,44,services,married,secondary,0,-627,1,0,,26,may,2,-1,0,,11.41.26 AM,11.47.39,0.06.13,0
977,50,admin.,divorced,secondary,0,363,1,0,,16,may,1,-1,0,,5.04.42 AM,5.27.02,0.22.20,1
978,31,services,divorced,primary,0,459,1,0,cellular,7,may,1,293,1,success,1.37.08 AM,1.47.31,0.10.23,1
979,40,self-employed,married,tertiary,0,271,1,0,cellular,11,aug,4,-1,0,,9.52.52 AM,9.57.17,0.04.25,0
980,46,entrepreneur,married,secondary,0,131,1,0,cellular,20,apr,2,-1,0,,11.48.25 AM,11.49.34,0.01.09,0
981,45,unemployed,married,secondary,0,383,0,0,cellular,23,apr,1,-1,0,,5.42.40 AM,5.47.33,0.04.53,0
982,41,services,married,secondary,0,121,1,0,cellular,17,apr,1,324,1,other,11.31.43 AM,11.32.24,0.00.41,0
983,33,services,married,secondary,0,386,0,0,cellular,12,may,1,181,5,success,12.20.53 PM,12.26.10,0.05.17,1
984,40,blue-collar,married,primary,0,1841,1,0,cellular,15,may,4,-1,0,,1.37.45 AM,1.52.25,0.14.40,1
986,42,unemployed,married,secondary,0,1289,0,0,cellular,15,jul,4,415,2,failure,1.16.36 AM,1.20.46,0.04.10,1
987,35,admin.,married,primary,0,-229,1,0,cellular,5,may,1,-1,0,,2.25.28 AM,2.28.24,0.02.56,0
988,49,admin.,married,secondary,0,2116,0,0,cellular,8,aug,3,-1,0,,4.27.54 AM,4.29.43,0.01.49,0
989,26,services,single,secondary,0,127,1,1,cellular,23,jul,3,-1,0,,11.18.31 AM,11.19.56,0.01.25,0
990,29,student,single,tertiary,0,0,0,0,,26,may,3,-1,0,,11.31.26 AM,11.32.18,0.00.52,0
991,38,technician,married,tertiary,0,3234,0,0,cellular,18,nov,2,-1,0,,2.10.47 AM,2.20.25,0.09.38,1
992,51,blue-collar,married,secondary,0,0,1,0,,5,may,2,-1,0,,9.17.56 AM,9.20.49,0.02.53,0
993,60,manullgement,married,tertiary,0,3401,0,0,cellular,30,oct,1,270,1,failure,11.20.43 AM,11.25.37,0.04.54,1
994,28,technician,single,tertiary,0,386,0,0,cellular,25,may,1,-1,0,,11.51.11 AM,12.05.38,0.14.27,1
995,35,self-employed,single,tertiary,0,1129,1,0,cellular,21,nov,2,184,2,failure,2.17.34 AM,2.18.38,0.01.04,0
996,35,technician,single,secondary,0,196,1,0,cellular,21,nov,1,-1,0,,4.49.56 AM,4.55.14,0.05.18,0
997,52,blue-collar,married,primary,0,994,0,0,cellular,22,aug,2,-1,0,,10.41.42 AM,10.43.31,0.01.49,0
998,47,housemaid,married,secondary,0,2524,0,0,cellular,12,oct,1,-1,0,,1.17.41 AM,1.19.26,0.01.45,1
999,27,technician,single,secondary,0,41,1,1,cellular,25,jul,1,-1,0,,10.55.20 AM,11.08.43,0.13.23,0
1000,35,technician,single,tertiary,0,0,0,0,cellular,14,jan,7,-1,0,,4.40.42 AM,4.43.49,0.03.07,1
1001,40,manullgement,married,tertiary,0,226,1,0,cellular,12,may,2,-1,0,,4.06.23 AM,4.10.45,0.04.22,0
1002,35,self-employed,married,tertiary,0,1987,0,0,cellular,8,aug,3,-1,0,,2.28.09 AM,2.33.44,0.05.35,0
1003,30,self-employed,single,primary,0,163,0,0,cellular,9,feb,3,-1,0,,5.52.27 AM,5.56.11,0.03.44,0
1004,42,blue-collar,married,secondary,0,-274,1,0,cellular,10,jul,1,-1,0,,2.51.19 AM,2.52.34,0.01.15,0
1005,48,manullgement,divorced,tertiary,0,-130,1,0,cellular,29,sep,2,61,9,failure,12.30.06 PM,12.31.56,0.01.50,0
1006,47,admin.,married,secondary,0,2524,1,0,cellular,19,nov,1,-1,0,,3.45.47 AM,3.46.37,0.00.50,0
1007,80,retired,married,primary,0,1021,0,0,telephone,26,feb,1,-1,0,,11.10.53 AM,11.11.30,0.00.37,0
1008,36,manullgement,married,tertiary,0,3949,0,0,cellular,28,jan,2,-1,0,,2.54.11 AM,2.56.21,0.02.10,1
1009,58,retired,married,secondary,0,32948,0,0,,29,may,2,-1,0,,4.28.24 AM,4.34.28,0.06.04,0
1010,30,admin.,single,secondary,0,315,1,0,cellular,14,may,3,346,4,failure,12.12.30 PM,12.27.14,0.14.44,1
1011,26,entrepreneur,married,tertiary,1,144,0,1,cellular,25,jul,1,-1,0,,12.33.07 PM,12.45.17,0.12.10,0
1012,59,manullgement,married,tertiary,0,2319,1,0,,15,may,32,-1,0,,10.36.51 AM,10.39.03,0.02.12,0
1013,39,admin.,single,tertiary,0,23,0,0,,11,jun,3,-1,0,,3.46.52 AM,3.49.34,0.02.42,0
